"samp_size","model","dim","num_bs_samples","nrm_typ","test_type","proc_type","xcor","rej_conf","ub","lb","min_pval","max_pval","rej_rate"
500,2,50,300,"max","DE3JN","mag",0.5,"0.9946 (0.9922, 0.9964)",0.9964,0.9922,0,0.456,0.9946
500,2,50,300,"ssq","DE3JN","mag",0.5,"0.9938 (0.9912, 0.9958)",0.9958,0.9912,0,0.34,0.9938
500,3,10,300,"bonf","DE3JN","mag",0.5,"0.63 (0.6164, 0.6434)",0.6434,0.6164,1.05534270211649e-07,0.98309652872183,0.63
500,3,10,300,"l2","DE3JN","mag",0.5,"0.9828 (0.9788, 0.9862)",0.9862,0.9788,0,0.156,0.9828
500,3,10,300,"lp","DE3JN","mag",0.5,"0.9746 (0.9699, 0.9788)",0.9788,0.9699,0,0.184,0.9746
500,3,10,300,"max","DE3JN","mag",0.5,"0.951 (0.9446, 0.9568)",0.9568,0.9446,0,0.3,0.951
500,3,10,300,"ssq","DE3JN","mag",0.5,"0.9764 (0.9718, 0.9804)",0.9804,0.9718,0,0.168,0.9764
500,3,100,300,"bonf","DE3JN","mag",0.5,"0.1976 (0.1866, 0.2089)",0.2089,0.1866,1.55362123166469e-07,8.49740566628943,0.1976
500,3,100,300,"l2","DE3JN","mag",0.5,"0.1282 (0.1191, 0.1378)",0.1378,0.1191,0,0.84,0.1282
500,3,100,300,"lp","DE3JN","mag",0.5,"0.254 (0.242, 0.2663)",0.2663,0.242,0,0.868,0.254
500,3,100,300,"max","DE3JN","mag",0.5,"0.5438 (0.5299, 0.5577)",0.5577,0.5299,0,0.964,0.5438
500,3,100,300,"ssq","DE3JN","mag",0.5,"0.3297 (0.3166, 0.3429)",0.3429,0.3166,0,0.912,0.3297
500,3,50,300,"bonf","DE3JN","mag",0.5,"0.2772 (0.2648, 0.2898)",0.2898,0.2648,1.29233690415731e-06,4.96284586967872,0.2772
500,3,50,300,"l2","DE3JN","mag",0.5,"0.2004 (0.1894, 0.2118)",0.2118,0.1894,0,0.596,0.2004
500,3,50,300,"lp","DE3JN","mag",0.5,"0.4486 (0.4347, 0.4625)",0.4625,0.4347,0,0.732,0.4486
500,3,50,300,"max","DE3JN","mag",0.5,"0.6804 (0.6673, 0.6933)",0.6933,0.6673,0,0.752,0.6804
500,3,50,300,"ssq","DE3JN","mag",0.5,"0.4927 (0.4787, 0.5067)",0.5067,0.4787,0,0.7,0.4927
500,4,10,300,"bonf","DE3JN","mag",0.5,"0.519 (0.505, 0.5329)",0.5329,0.505,8.28448176726226e-07,4.66511178841636,0.519
500,4,10,300,"l2","DE3JN","mag",0.5,"0.6592 (0.6459, 0.6723)",0.6723,0.6459,0,0.984,0.6592
500,4,10,300,"lp","DE3JN","mag",0.5,"0.6486 (0.6352, 0.6618)",0.6618,0.6352,0,0.984,0.6486
500,4,10,300,"max","DE3JN","mag",0.5,"0.5348 (0.5209, 0.5487)",0.5487,0.5209,0,0.996,0.5348
500,4,10,300,"ssq","DE3JN","mag",0.5,"0.6515 (0.6381, 0.6647)",0.6647,0.6381,0,0.988,0.6515
500,4,100,300,"bonf","DE3JN","mag",0.5,"0.4356 (0.4218, 0.4495)",0.4495,0.4218,3.43838890692894e-07,13.5528214456126,0.4356
500,4,100,300,"l2","DE3JN","mag",0.5,"0.6332 (0.6197, 0.6466)",0.6466,0.6197,0,1,0.6332
500,4,100,300,"lp","DE3JN","mag",0.5,"0.6434 (0.6299, 0.6567)",0.6567,0.6299,0,1,0.6434
