samp_size,model,dim,num_bs_samples,nrm_typ,test_type,proc_type,xcor,rej_conf,ub,lb,min_pval,max_pval,rej_rate
200,3,50,250,bonf,pearson,mag,0.5,"0.7432 (0.7309, 0.7553)",0.7553,0.7309,0,7.093156047,0.7432
200,3,50,250,bonf,pearson,mag,0.8,"0.789 (0.7774, 0.8002)",0.8002,0.7774,0,15.0038184,0.789
200,3,50,250,bonf,pearson,mag,0,"0.6335 (0.6201, 0.6469)",0.6469,0.6201,2.32E-10,2.765047274,0.6335
200,3,50,250,pbotlp,pearson,mag,0.5,"0.7498 (0.7375, 0.7617)",0.7617,0.7375,0,0.92,0.7498
200,3,50,250,pbotlp,pearson,mag,0.8,"0.8793 (0.87, 0.8881)",0.8881,0.87,0,0.96,0.8793
200,3,50,250,pbotlp,pearson,mag,0,"0.7605 (0.7484, 0.7722)",0.7722,0.7484,0,0.804,0.7605
200,3,50,250,lp,pearson,mag,0.5,"0.7172 (0.7045, 0.7297)",0.7297,0.7045,0,0.984,0.7172
200,3,50,250,lp,pearson,mag,0.8,"0.855 (0.845, 0.8647)",0.8647,0.845,0,0.972,0.855
200,3,50,250,lp,pearson,mag,0,"0.712 (0.6992, 0.7245)",0.7245,0.6992,0,0.912,0.712
100,1,10,250,cauchy,pearson,mag,0.5,"0.1042 (0.0959, 0.113)",0.113,0.0959,4.65E-09,0.999944666,0.1042
100,1,10,250,cauchy,pearson,mag,0.8,"0.0872 (0.0795, 0.0954)",0.0954,0.0795,4.98E-07,0.999909658,0.0872
100,1,10,250,cauchy,pearson,mag,0,"0.118 (0.1092, 0.1272)",0.1272,0.1092,5.31E-07,0.999870966,0.118
100,1,100,250,cauchy,pearson,mag,0.5,"0.1527 (0.1429, 0.1629)",0.1629,0.1429,1.04E-08,0.999945176,0.1527
100,1,100,250,cauchy,pearson,mag,0.8,"0.1016 (0.0934, 0.1103)",0.1103,0.0934,1.17E-07,0.999662066,0.1016
100,1,100,250,cauchy,pearson,mag,0,"0.232 (0.2203, 0.2439)",0.2439,0.2203,1.82E-08,0.999929896,0.232
100,1,50,250,cauchy,pearson,mag,0.5,"0.132 (0.1227, 0.1417)",0.1417,0.1227,4.46E-07,0.999729518,0.132
100,1,50,250,cauchy,pearson,mag,0.8,"0.0976 (0.0895, 0.1062)",0.1062,0.0895,4.91E-06,0.999983141,0.0976
100,1,50,250,cauchy,pearson,mag,0,"0.1942 (0.1834, 0.2053)",0.2053,0.1834,7.54E-09,0.999680929,0.1942
100,2,10,250,cauchy,pearson,mag,0.5,"0.6088 (0.5951, 0.6224)",0.6224,0.5951,2.22E-16,0.999944801,0.6088
100,2,10,250,cauchy,pearson,mag,0.8,"0.6768 (0.6636, 0.6898)",0.6898,0.6636,1.11E-16,0.999499122,0.6768
100,2,10,250,cauchy,pearson,mag,0,"0.5149 (0.501, 0.5288)",0.5288,0.501,3.34E-14,0.999892835,0.5149
100,2,100,250,cauchy,pearson,mag,0.5,"0.6134 (0.5997, 0.6269)",0.6269,0.5997,2.00E-15,0.999580733,0.6134
100,2,100,250,cauchy,pearson,mag,0.8,"0.6884 (0.6754, 0.7012)",0.7012,0.6754,2.22E-16,0.999910437,0.6884
100,2,100,250,cauchy,pearson,mag,0,"0.4328 (0.4191, 0.4465)",0.4465,0.4191,2.00E-15,0.999914314,0.4328
100,2,50,250,cauchy,pearson,mag,0.5,"0.6134 (0.5997, 0.6269)",0.6269,0.5997,9.99E-16,0.998576141,0.6134
100,2,50,250,cauchy,pearson,mag,0.8,"0.6878 (0.6747, 0.7006)",0.7006,0.6747,2.22E-16,0.998495151,0.6878
100,2,50,250,cauchy,pearson,mag,0,"0.4227 (0.409, 0.4365)",0.4365,0.409,3.23E-13,0.999407008,0.4227
100,3,10,250,cauchy,pearson,mag,0.5,"0.6442 (0.6307, 0.6575)",0.6575,0.6307,2.22E-16,0.999974388,0.6442
100,3,10,250,cauchy,pearson,mag,0.8,"0.6846 (0.6715, 0.6975)",0.6975,0.6715,2.22E-16,0.999856726,0.6846
100,3,10,250,cauchy,pearson,mag,0,"0.6766 (0.6634, 0.6895)",0.6895,0.6634,1.98E-11,0.999864665,0.6766
100,3,100,250,cauchy,pearson,mag,0.5,"0.5866 (0.5728, 0.6003)",0.6003,0.5728,4.44E-14,0.999972375,0.5866
100,3,100,250,cauchy,pearson,mag,0.8,"0.692 (0.679, 0.7048)",0.7048,0.679,0,0.998774595,0.692
100,3,100,250,cauchy,pearson,mag,0,"0.4509 (0.4371, 0.4647)",0.4647,0.4371,1.99E-10,0.999847972,0.4509
100,3,50,250,cauchy,pearson,mag,0.5,"0.6194 (0.6058, 0.6329)",0.6329,0.6058,1.62E-13,0.998999372,0.6194
100,3,50,250,cauchy,pearson,mag,0.8,"0.6898 (0.6768, 0.7026)",0.7026,0.6768,4.44E-16,0.999784205,0.6898
100,3,50,250,cauchy,pearson,mag,0,"0.4854 (0.4715, 0.4992)",0.4992,0.4715,3.46E-12,0.999773516,0.4854
200,1,10,250,cauchy,pearson,mag,0.5,"0.066 (0.0593, 0.0732)",0.0732,0.0593,7.54E-06,0.999746826,0.066
200,1,10,250,cauchy,pearson,mag,0.8,"0.066 (0.0593, 0.0732)",0.0732,0.0593,3.16E-06,0.999919745,0.066
